"source","EpiWeek","DateMin","DateMax","LGA","Lat","Lon","ConfCases"
"https://ncdc.gov.ng/data",1,2014-12-29,2015-01-04,NA,NA,NA,NA
"https://ncdc.gov.ng/data",2,2015-01-05,2015-01-11,NA,NA,NA,NA
"https://ncdc.gov.ng/data",3,2015-01-12,2015-01-18,NA,NA,NA,NA
"https://ncdc.gov.ng/data",4,2015-01-19,2015-01-25,NA,NA,NA,NA
"https://ncdc.gov.ng/data",5,2015-01-26,2015-02-01,NA,NA,NA,NA
"https://ncdc.gov.ng/data",6,2015-02-02,2015-02-08,NA,NA,NA,NA
"https://ncdc.gov.ng/data",7,2015-02-09,2015-02-15,NA,NA,NA,NA
"https://ncdc.gov.ng/data",8,2015-02-16,2015-02-22,NA,NA,NA,NA
"https://ncdc.gov.ng/data",9,2015-02-23,2015-03-01,NA,NA,NA,NA
"https://ncdc.gov.ng/data",10,2015-03-02,2015-03-08,NA,NA,NA,NA
"https://ncdc.gov.ng/data",11,2015-03-09,2015-03-15,NA,NA,NA,NA
"https://ncdc.gov.ng/data",12,2015-03-16,2015-03-22,NA,NA,NA,NA
"https://ncdc.gov.ng/data",13,2015-03-23,2015-03-29,NA,NA,NA,NA
"https://ncdc.gov.ng/data",14,2015-03-30,2015-04-05,NA,NA,NA,NA
"https://ncdc.gov.ng/data",15,2015-04-06,2015-04-12,NA,NA,NA,NA
"https://ncdc.gov.ng/data",16,2015-04-13,2015-04-19,NA,NA,NA,NA
"https://ncdc.gov.ng/data",17,2015-04-20,2015-04-26,NA,NA,NA,NA
"https://ncdc.gov.ng/data",18,2015-04-27,2015-05-03,NA,NA,NA,NA
"https://ncdc.gov.ng/data",19,2015-05-04,2015-05-10,NA,NA,NA,NA
"https://ncdc.gov.ng/data",20,2015-05-11,2015-05-17,NA,NA,NA,NA
"https://ncdc.gov.ng/data",21,2015-05-18,2015-05-24,NA,NA,NA,NA
"https://ncdc.gov.ng/data",22,2015-05-25,2015-05-31,NA,NA,NA,NA
"https://ncdc.gov.ng/data",23,2015-06-01,2015-06-07,NA,NA,NA,NA
"https://ncdc.gov.ng/data",24,2015-06-08,2015-06-14,NA,NA,NA,NA
"https://ncdc.gov.ng/data",25,2015-06-15,2015-06-21,NA,NA,NA,NA
"https://ncdc.gov.ng/data",26,2015-06-22,2015-06-28,NA,NA,NA,NA
"https://ncdc.gov.ng/data",27,2015-06-29,2015-07-05,NA,NA,NA,NA
"https://ncdc.gov.ng/data",28,2015-07-06,2015-07-12,NA,NA,NA,NA
"https://ncdc.gov.ng/data",29,2015-07-13,2015-07-19,NA,NA,NA,NA
"https://ncdc.gov.ng/data",30,2015-07-20,2015-07-26,NA,NA,NA,NA
"https://ncdc.gov.ng/data",31,2015-07-27,2015-08-02,NA,NA,NA,NA
"https://ncdc.gov.ng/data",32,2015-08-03,2015-08-09,NA,NA,NA,NA
"https://ncdc.gov.ng/data",33,2015-08-10,2015-08-16,NA,NA,NA,NA
"https://ncdc.gov.ng/data",34,2015-08-17,2015-08-23,NA,NA,NA,NA
"https://ncdc.gov.ng/data",35,2015-08-24,2015-08-30,NA,NA,NA,NA
"https://ncdc.gov.ng/data",36,2015-08-31,2015-09-06,NA,NA,NA,NA
